# x_coordinate y_coordinate
-3.946890 2.786838
-2.058871 4.731459
-1.337564 0.155597
-2.924119 -4.950365
-0.873324 2.542433
3.140600 2.045637
-3.629436 -3.549646
-0.341445 -4.499924
1.220567 2.897311
2.478052 4.165409
-2.257504 4.104787
-1.116738 -3.600698
-0.673710 -0.968565
2.665507 1.702745
2.966778 3.105071
4.015667 1.743108
-1.407977 -3.720651
-3.878416 -4.432616
-1.021222 3.157365
-3.717414 1.249006
-0.343613 -0.079419
1.900075 3.576757
4.293197 0.467422
4.042366 3.941243
-0.993685 0.329980
3.147902 3.849467
2.742947 -2.985925
1.726895 0.234214
0.225491 -1.824857
-2.441274 -2.678673
0.898680 -4.369612
2.749577 1.146623
1.283079 -2.989273
-3.358861 3.962285
-3.793687 -0.378703
-1.929458 4.464913
0.772503 -0.419014
2.700147 -3.822632
-2.211724 -4.305486
0.194941 -4.485842
-3.437159 -4.318754
4.214211 -0.549798
-1.595377 2.713445
1.321782 -4.264523
3.096829 -3.738124
0.265209 3.792479
3.883038 2.279659
-2.954671 2.517099
1.543815 0.541646
-0.399659 -4.606536
4.819871 0.997329
-3.221420 -0.844890
-0.594029 -0.204260
-1.027752 2.730120
-0.812886 -2.997978
1.529518 -2.653464
1.984698 4.443820
4.637871 -1.765287
-3.866253 -3.618319
-1.723307 -0.655989
4.040377 1.435099
-3.305605 4.264497
-4.160876 3.446585
-3.469038 -4.300311
-2.598059 4.313249
-2.143091 3.948114
-2.839675 -0.459721
3.606749 -1.329463
-2.445012 2.111122
-3.482033 -0.084942
-3.804935 -2.899351
-2.590826 -2.660839
-4.807873 -0.981233
3.637228 4.477943
-0.176813 -0.284674
0.451221 -3.330929
-3.650356 -0.604127
1.886332 -1.895492
4.793911 -1.495213
0.922311 1.207758
-0.015602 1.352974
-4.571706 -4.420554
1.994987 3.007518
-3.716499 -3.052410
-4.529855 1.180223
3.841457 -0.064255
4.642337 -4.069367
-1.892406 -3.520398
-3.106876 -0.952200
-0.830399 2.750774
-4.507804 -3.112143
-3.167257 -1.535133
-1.673451 -4.032920
-3.418299 -3.264096
2.039472 2.638497
-2.604029 2.250698
-3.169991 0.466538
-1.699855 -4.512032
0.352570 -1.614069
-4.043750 -2.463056
1.081916 2.162103
-4.465474 -0.128306
-3.839685 -1.675662
-0.270582 4.371064
-0.520388 -4.498941
-1.747737 -2.877479
4.377763 -0.051675
-3.366178 1.132642
4.860839 2.785513
-4.661149 -4.507004
2.049463 4.000583
0.369881 -0.676720
-0.828073 0.873592
3.691285 0.959741
-1.987993 4.182140
4.568941 0.672718
-0.895314 2.513973
2.989059 2.854165
-2.712643 -4.657488
-2.654946 1.777273
3.286596 0.354403
-0.747268 -1.867792
-1.044211 -0.783319
-0.038416 -1.913789
-3.035221 4.640926
-0.657735 3.239556
1.518334 -2.170382
2.122612 3.111598
-3.115207 -1.303967
-1.302513 4.589132
-4.011036 0.483766
-2.539703 -0.949067
-1.316632 -0.062740
-3.229600 3.571070
-2.216192 3.133629
-2.155235 2.187414
1.317877 -2.354911
-1.994493 -4.189368
2.321387 -2.011827
-4.499675 -3.909785
1.653848 -0.142673
3.940795 -4.431344
2.035732 -1.688592
-1.426300 -4.016834
4.286132 2.337192
-3.978006 1.692076
1.869679 -4.995097
3.210786 2.684825
-3.077612 -0.786744
0.719485 -3.951561
-3.913440 1.538498
2.773544 3.641553
2.862045 4.471080
-4.595912 -2.560232
-3.458140 -3.480886
